Model,Family,Word-F1,METEOR,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-3,ROUGE-L
LLaVA-3B-CLIP,ours,0.3172,0.2912,0.3168,0.2108,0.1722,0.1425,0.3419,0.1625,0.0971,0.3166
LLaVA-1B-MedSigLIP,ours,0.2883,0.2748,0.2956,0.1978,0.1603,0.1336,0.3181,0.1533,0.0922,0.2972
LLaVA-3B-MedSigLIP,ours,0.2792,0.2603,0.2813,0.1822,0.1499,0.1235,0.3074,0.1369,0.0831,0.2854
LLaVA-1B-CLIP,ours,0.2791,0.2608,0.2797,0.183,0.1459,0.1186,0.3069,0.1424,0.0775,0.2825
LLaVA-8B-CLIP,ours,0.2637,0.2448,0.2593,0.166,0.1367,0.1128,0.2867,0.1252,0.074,0.2641
GPT-5,baseline,0.2727,0.2611,0.296,0.1736,0.1345,0.1067,0.3013,0.1184,0.0663,0.261
MedGemma-4B,baseline,0.2621,0.2528,0.2827,0.1547,0.1126,0.0848,0.3058,0.0964,0.0429,0.2591
GPT-4o,baseline,0.2595,0.2689,0.2809,0.1605,0.115,0.0843,0.2958,0.1065,0.0473,0.2432
Qwen2.5-VL-7B,baseline,0.2579,0.284,0.2796,0.1646,0.1237,0.0964,0.2898,0.1097,0.0578,0.239
OctoMed-7B,baseline,0.2381,0.2037,0.2225,0.1323,0.1075,0.0875,0.2553,0.1053,0.0615,0.229
Fleming-VL-8B,baseline,0.2272,0.2085,0.2064,0.097,0.0594,0.0395,0.2568,0.0508,0.0149,0.2103
Qwen2-VL-7B,baseline,0.2214,0.2237,0.2282,0.1144,0.0767,0.0565,0.2546,0.0607,0.0269,0.2098
Llama-3.2-11B-Vision,baseline,0.2031,0.2186,0.179,0.0933,0.0644,0.0453,0.2307,0.0632,0.0212,0.1978
Med-Flamingo,baseline,0.1487,0.1876,0.1595,0.1043,0.0835,0.0682,0.1665,0.0777,0.0472,0.1532
LLaVA-1.5-7B,baseline,0.1541,0.1722,0.1766,0.0899,0.061,0.0497,0.1788,0.0583,0.0345,0.1529
llava-med,baseline,0.1272,0.1384,0.1123,0.0417,0.0241,0.0152,0.1622,0.0319,0.0114,0.1363
